,Location,Clicks,Impr,CTR,Currency,AvgCPC,Cost,Conversions,CostPerConvNOK,ConvRate,CostPerConvUSD
21,India,150,6409,2.34,NOK,0.44,66.27,20,3.31,13.33,0.38
42,Iran,94,5153,1.82,NOK,0.36,33.92,9,3.76,9.68,0.44
14,Algeria,103,6665,1.55,NOK,0.21,21.43,6,3.57,5.83,0.41
37,Egypt,80,5299,1.51,NOK,0.26,20.42,6,3.4,7.50,0.39
3,Bangladesh,29,921,3.15,NOK,0.56,16.37,5,3.27,17.24,0.38
13,Dominican Republic,20,1039,1.92,NOK,0.32,6.5,5,1.3,25.00,0.15
26,Morocco,70,4069,1.72,NOK,0.35,24.31,5,4.86,7.14,0.56
17,Haiti,24,894,2.68,NOK,0.26,6.29,4,1.57,16.67,0.18
23,Zambia,12,343,3.50,NOK,0.48,5.76,4,1.44,33.33,0.17
15,Senegal,35,1050,3.33,NOK,0.23,7.93,3,2.64,8.57,0.31
30,Libya,18,855,2.11,NOK,0.17,3.11,3,1.04,16.67,0.12
33,Mali,15,314,4.78,NOK,0.31,4.6,3,1.53,20.00,0.18
1,Cameroon,13,455,2.86,NOK,0.49,6.37,2,3.18,15.38,0.37
4,Sri Lanka,7,166,4.22,NOK,0.22,1.54,2,0.77,28.57,0.09
7,Benin,5,388,1.29,NOK,0.13,0.67,2,0.33,40.00,0.04
11,Bolivia,14,697,2.01,NOK,0.28,3.91,2,1.95,14.29,0.23
25,Lebanon,21,1702,1.23,NOK,0.26,5.38,2,2.69,9.52,0.31
29,Yemen,11,400,2.75,NOK,0.35,3.81,2,1.91,18.18,0.22
32,Colombia,8,442,1.81,NOK,0.58,4.61,2,2.3,25.00,0.27
38,Tanzania,10,808,1.24,NOK,0.43,4.27,2,2.14,20.00,0.25
39,Iraq,56,4410,1.27,NOK,0.20,11.41,2,5.71,3.57,0.66
40,Albania,6,134,4.48,NOK,0.45,2.69,2,1.35,33.33,0.16
41,Togo,8,249,3.21,NOK,0.49,3.92,2,1.96,25.00,0.23
2,Belize,1,75,1.33,NOK,0.29,0.29,1,0.29,100.00,0.03
5,Uruguay,1,36,2.78,NOK,0.74,0.74,1,0.74,100.00,0.09
6,Myanmar (Burma),3,73,4.11,NOK,0.48,1.44,1,1.44,33.33,0.17
8,The Gambia,5,161,3.11,NOK,0.14,0.71,1,0.71,20.00,0.08
9,Democratic Republic of the Congo,5,163,3.07,NOK,0.79,3.93,1,3.93,20.00,0.46
10,Paraguay,5,222,2.25,NOK,0.48,2.42,1,2.42,20.00,0.28
12,Sudan,8,287,2.79,NOK,0.39,3.1,1,3.1,12.50,0.36
16,Burundi,4,34,11.76,NOK,0.10,0.39,1,0.39,25.00,0.05
18,Cambodia,10,129,7.75,NOK,0.26,2.62,1,2.62,10.00,0.3
19,Burkina Faso,8,193,4.15,NOK,0.21,1.7,1,1.7,12.50,0.2
20,Rwanda,1,111,0.90,NOK,1.37,1.37,1,1.37,100.00,0.16
22,Tunisia,20,1367,1.46,NOK,0.30,5.92,1,5.92,5.00,0.69
24,Pakistan,56,5545,1.01,NOK,0.32,17.88,1,17.88,1.79,2.07
27,Cuba,4,139,2.88,NOK,0.29,1.16,1,1.16,25.00,0.13
28,Niger,2,156,1.28,NOK,0.19,0.38,1,0.38,50.00,0.04
31,Guinea,8,227,3.52,NOK,0.24,1.91,1,1.91,12.50,0.22
34,Peru,11,274,4.01,NOK,0.29,3.16,1,3.16,9.09,0.37
35,Brazil,15,489,3.07,NOK,0.43,6.45,1,6.45,6.67,0.75
36,Ecuador,13,506,2.57,NOK,0.18,2.28,1,2.28,7.69,0.26
