Geographic location report
All time
Location,Bid adj.,Added/Excluded,Location type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Bulgaria, --,Added,Physical location,40,"2,540",1.57%,NOK,0.90,35.85,11.00,3.26,27.50%
Poland, --,Added,Physical location,8,413,1.94%,NOK,0.82,6.59,3.00,2.20,37.50%
Belarus, --,Added,Physical location,18,"1,864",0.97%,NOK,0.87,15.62,4.00,3.90,22.22%
Romania, --,Added,Physical location,47,"4,172",1.13%,NOK,0.73,34.09,9.00,3.79,19.15%
Ukraine, --,Added,Physical location,79,"6,211",1.27%,NOK,1.00,78.98,16.00,4.94,20.25%
Ukraine, --,Added,Location of interest,5,207,2.42%,NOK,0.25,1.23,1.00,1.23,20.00%
Slovakia, --,Added,Physical location,1,198,0.51%,NOK,1.46,1.46,1.00,1.46,100.00%
Montenegro, --,Added,Physical location,23,"2,009",1.14%,NOK,0.50,11.58,1.00,11.58,4.35%
Portugal, --,Added,Physical location,13,"1,252",1.04%,NOK,0.80,10.36,3.00,3.45,23.08%
Slovenia, --,Added,Physical location,5,435,1.15%,NOK,1.71,8.57,2.00,4.29,40.00%
Hungary, --,Added,Physical location,7,486,1.44%,NOK,1.51,10.55,1.00,10.55,14.29%
Spain, --,Added,Physical location,6,280,2.14%,NOK,1.10,6.57,1.00,6.57,16.67%
Greece, --,Added,Physical location,13,"1,588",0.82%,NOK,0.57,7.41,2.00,3.71,15.38%
Albania, --,Added,Physical location,52,"5,502",0.95%,NOK,0.45,23.42,6.00,3.90,11.54%
Kosovo, --,Added,Physical location,115,"7,961",1.44%,NOK,0.28,31.69,9.00,3.52,7.83%
Bosnia and Herzegovina, --,Added,Physical location,68,"5,033",1.35%,NOK,0.27,18.24,4.00,4.56,5.88%
Serbia, --,Added,Physical location,157,"11,254",1.40%,NOK,0.26,41.28,8.00,5.16,5.10%
Macedonia (FYROM), --,Added,Physical location,105,"8,678",1.21%,NOK,0.30,31.73,5.00,6.35,4.76%
Moldova, --,Added,Physical location,6,809,0.74%,NOK,0.95,5.70,1.00,5.70,16.67%
Lithuania, --,Added,Physical location,5,241,2.07%,NOK,1.17,5.87,1.00,5.87,20.00%
