Targeted location report
"May 5, 2019 - May 10, 2019"
Location,Bid adj.,Conversions,Currency code,Cost / conv.,Conv. rate
Sweden, --,0.00,NOK,0.00,0.00%
Italy, --,0.00,NOK,0.00,0.00%
France, --,0.00,NOK,0.00,0.00%
Austria, --,0.00,NOK,0.00,0.00%
Switzerland, --,0.00,NOK,0.00,0.00%
Germany, --,0.00,NOK,0.00,0.00%
United Kingdom, --,0.00,NOK,0.00,0.00%
Ukraine, --,17.00,NOK,4.72,20.24%
Bulgaria, --,11.00,NOK,3.26,27.50%
Serbia, --,8.00,NOK,5.16,5.10%
Spain, --,1.00,NOK,6.57,16.67%
Belgium, --,0.00,NOK,0.00,0.00%
Slovakia, --,1.00,NOK,1.46,100.00%
Belarus, --,4.00,NOK,3.90,22.22%
Slovenia, --,2.00,NOK,4.29,40.00%
Latvia, --,0.00,NOK,0.00,0.00%
Netherlands, --,0.00,NOK,0.00,0.00%
Montenegro, --,1.00,NOK,11.58,4.35%
Bosnia and Herzegovina, --,4.00,NOK,4.57,5.80%
Romania, --,9.00,NOK,3.79,19.15%
Estonia, --,0.00,NOK,0.00,0.00%
Hungary, --,1.00,NOK,10.63,12.50%
Ireland, --,0.00,NOK,0.00,0.00%
Czechia, --,0.00,NOK,0.00,0.00%
Macedonia (FYROM), --,5.00,NOK,6.35,4.76%
Greece, --,2.00,NOK,3.71,15.38%
Croatia, --,0.00,NOK,0.00,0.00%
Luxembourg, --,0.00,NOK,0.00,0.00%
Poland, --,3.00,NOK,2.44,30.00%
Norway, --,0.00,NOK,0.00,0.00%
Lithuania, --,1.00,NOK,5.87,20.00%
Albania, --,6.00,NOK,3.90,11.54%
"Kaliningrad Oblast, Russia", --,0.00,NOK,0.00,0.00%
Denmark, --,0.00,NOK,0.00,0.00%
Portugal, --,3.00,NOK,3.45,23.08%
Finland, --,0.00,NOK,0.00,0.00%
Kosovo, --,9.00,NOK,3.55,7.76%
Iceland, --,0.00,NOK,0.00,0.00%
Moldova, --,1.00,NOK,5.70,16.67%
Total: Locations,,89.00,NOK,4.53,11.14%
Total: Account,,89.00,NOK,4.53,11.14%
