,Location,Conversions,Currency,CostPerConvNOK,ConvRate,CostPerConvUSD
20,Total: Locations,89,NOK,4.53,11.14%,0.53
21,Total: Account,89,NOK,4.53,11.14%,0.53
1,Ukraine,17,NOK,4.72,20.24%,0.55
2,Bulgaria,11,NOK,3.26,27.50%,0.38
10,Romania,9,NOK,3.79,19.15%,0.44
18,Kosovo,9,NOK,3.55,7.76%,0.41
3,Serbia,8,NOK,5.16,5.10%,0.6
16,Albania,6,NOK,3.9,11.54%,0.45
12,Macedonia (FYROM),5,NOK,6.35,4.76%,0.74
6,Belarus,4,NOK,3.9,22.22%,0.45
9,Bosnia and Herzegovina,4,NOK,4.57,5.80%,0.53
14,Poland,3,NOK,2.44,30.00%,0.28
17,Portugal,3,NOK,3.45,23.08%,0.4
7,Slovenia,2,NOK,4.29,40.00%,0.5
13,Greece,2,NOK,3.71,15.38%,0.43
4,Spain,1,NOK,6.57,16.67%,0.76
5,Slovakia,1,NOK,1.46,100.00%,0.17
8,Montenegro,1,NOK,11.58,4.35%,1.34
11,Hungary,1,NOK,10.63,12.50%,1.23
15,Lithuania,1,NOK,5.87,20.00%,0.68
19,Moldova,1,NOK,5.7,16.67%,0.66
